Super built-up Area,availability,location,size_BHK,society,total_sqft,bath,balcony,price
Super built-up Area,Ready to move,Electronic City Phase II,2,Coomee,1056,2,1,39
Plot Area,Ready to move,Chikka Tirupathi,4,Theanmp,2600,5,3,120
Built-up Area,Ready to move,Uttarahalli,3,Unknown Society,1440,2,3,62
Super built-up Area,Ready to move,Lingadheeranahalli,3,Soiewre,1521,3,1,95
Super built-up Area,Ready to move,Kothanur,2,Unknown Society,1200,2,1,51
Super built-up Area,Ready to move,Whitefield,2,DuenaTa,1170,2,1,38
Super built-up Area,Ready to move,Old Airport Road,4,Jaades,2732,4,1,204
Super built-up Area,Ready to move,Rajaji Nagar,4,Brway G,3300,4,1,600
Super built-up Area,Ready to move,Marathahalli,3,Unknown Society,1310,3,1,63
Plot Area,Ready to move,Gandhi Bazar,6,Unknown Society,1020,6,1,370
Super built-up Area,Ready to move,Whitefield,3,Unknown Society,1800,2,2,70
Plot Area,Ready to move,Whitefield,4,Prrry M,2785,5,3,295
Super built-up Area,Ready to move,7th Phase JP Nagar,2,Shncyes,1000,2,1,38
Built-up Area,Ready to move,Gottigere,2,Unknown Society,1100,2,2,40
Plot Area,Ready to move,Sarjapur,3,Skityer,2250,3,2,148
Super built-up Area,Ready to move,Mysore Road,2,PrntaEn,1175,2,2,73
Super built-up Area,Ready to move,Bisuvanahalli,3,Prityel,1180,3,2,48
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,3,GrrvaGr,1540,3,3,60
Super built-up Area,Ready to move,Ramakrishnappa Layout,3,PeBayle,2770,4,2,290
Super built-up Area,Ready to move,Manayata Tech Park,2,Unknown Society,1100,2,2,48
Built-up Area,Ready to move,Kengeri,1,Unknown Society,600,1,1,15
Super built-up Area,Ready to move,Binny Pete,3,She 2rk,1755,3,1,122
Plot Area,Ready to move,Thanisandra,4,Soitya,2800,5,2,380
Super built-up Area,Ready to move,Bellandur,3,Unknown Society,1767,3,1,103
Super built-up Area,Ready to move,Thanisandra,1,Bhe 2ko,510,1,0,25
Super built-up Area,Ready to move,Mangammanapalya,3,Unknown Society,1250,3,2,56
Super built-up Area,Ready to move,Electronic City,2,Itelaa,660,1,1,23
Built-up Area,Ready to move,Whitefield,3,Unknown Society,1610,3,2,81
Super built-up Area,Ready to move,Ramagondanahalli,2,ViistLa,1151,2,2,48
Super built-up Area,Ready to move,Electronic City,3,KBityo,1025,2,1,47
Super built-up Area,Ready to move,Yelahanka,4,LedorSa,2100,4,0,186
Super built-up Area,Ready to move,Bisuvanahalli,3,Prityel,1075,2,1,35
Super built-up Area,Ready to move,Hebbal,3,Mahosya,1760,2,2,123
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3,57
Built-up Area,Ready to move,Kasturi Nagar,3,Kantsce,1925,3,1,125
Super built-up Area,Ready to move,Kanakpura Road,2,PrarePa,700,2,1,36
Super built-up Area,Ready to move,Electronics City Phase 1,2,Unknown Society,1070,2,1,45
Super built-up Area,Ready to move,Kundalahalli,3,Dieldli,1724,3,2,125
Super built-up Area,Ready to move,Chikkalasandra,3,Unknown Society,1290,2,2,56
Built-up Area,Ready to move,Uttarahalli,2,Unknown Society,1143,2,2,45
Built-up Area,Ready to move,Murugeshpalya,2,Gentson,1296,2,1,81
Super built-up Area,Ready to move,Sarjapur Road,3,Soini T,1254,3,2,38
Super built-up Area,Ready to move,Ganga Nagar,1,Ceove G,600,1,0,38
Plot Area,Ready to move,Yelahanka,1,Unknown Society,660,1,0,48
Super built-up Area,Ready to move,Kanakpura Road,2,Soazak,1330.74,2,2,91
Plot Area,Ready to move,HSR Layout,8,Unknown Society,600,9,1,200
Super built-up Area,Ready to move,Doddathoguru,2,LancyRe,970,2,0,33
Super built-up Area,Ready to move,Whitefield,2,Goted U,1459,2,1,94
Plot Area,Ready to move,KR Puram,2,Unknown Society,800,1,1,130
Built-up Area,Ready to move,Himagiri Meadows,2,Unknown Society,869,2,1,36
Super built-up Area,Ready to move,Adarsh Nagar,2,Bhncyis,1270,2,1,50
Super built-up Area,Ready to move,Bhoganhalli,3,Rosha I,1670,3,1,99
Built-up Area,Ready to move,Whitefield,3,Suent V,2010,3,2,91
Super built-up Area,Ready to move,Lakshminarayana Pura,2,RothaVa,1185,2,2,75
Super built-up Area,Ready to move,Yelahanka,3,NCowsar,1600,2,3,75
Super built-up Area,Ready to move,Begur Road,2,Dhalsh,1200,2,2,44
Built-up Area,Ready to move,Devanahalli,4,BrereAt,3010,Unknown Society,1,192
Super built-up Area,Ready to move,Ramakrishnappa Layout,2,PeBayle,1500,2,2,185
Plot Area,Ready to move,Murugeshpalya,6,Unknown Society,1407,4,1,150
Super built-up Area,Ready to move,Govindaraja Nagar Ward,2,Unknown Society,840,2,2,45
Plot Area,Ready to move,Tharabanahalli,3,Unknown Society,4395,3,2,240
Super built-up Area,Ready to move,Ganga Nagar,2,Laavevi,845,2,1,55
Plot Area,Ready to move,Whitefield,4,Chranya,5700,5,3,650
Built-up Area,Ready to move,Varthur,2,HioraTr,1160,2,2,44
Built-up Area,Ready to move,Bommanahalli,8,Unknown Society,3000,8,0,140
Super built-up Area,Ready to move,Doddathoguru,2,Unknown Society,1100,2,1,62
Super built-up Area,Ready to move,Gunjur,2,BMineis,1140,2,3,43
Super built-up Area,Ready to move,Marathahalli,2,Unknown Society,1220,2,1,57
Plot Area,Ready to move,Devarachikkanahalli,8,Unknown Society,1350,7,0,85
Super built-up Area,Ready to move,Kanakpura Road,2,Unknown Society,1005,2,1,36
Plot Area,Ready to move,Double Road,3,Unknown Society,500,3,2,100
Super built-up Area,Ready to move,Begur Road,2,Pruthg,1358,2,1,80
Super built-up Area,Ready to move,Hegde Nagar,3,Sonosty,1569,3,1,101
Super built-up Area,Ready to move,Haralur Road,2,SNnia E,1240,2,1,70
Super built-up Area,Ready to move,Hennur Road,3,Anavi B,2089,3,2,140
Super built-up Area,Ready to move,Kothannur,2,Unknown Society,1206,2,1,48
Super built-up Area,Ready to move,Kalena Agrahara,2,Unknown Society,1150,2,3,40
Built-up Area,Ready to move,Cholanayakanahalli,3,Viony H,2511,3,3,205
Built-up Area,Ready to move,Kaval Byrasandra,2,Unknown Society,460,1,0,22
Built-up Area,Ready to move,ISRO Layout,6,Unknown Society,4400,6,3,250
Super built-up Area,Ready to move,Kodanda Reddy Layout,3,AdentEl,1660,2,2,105
Built-up Area,Ready to move,Hennur Road,4,Gollela,2957,Unknown Society,1,224
Super built-up Area,Ready to move,Yelahanka,2,Niareum,1326,2,2,78
Super built-up Area,Ready to move,Garudachar Palya,3,Unknown Society,1325,2,2,60
Super built-up Area,Ready to move,EPIP Zone,3,SJlynro,1499,5,2,102
Built-up Area,Ready to move,Hegde Nagar,6,Unknown Society,3000,7,2,210
Super built-up Area,Ready to move,Kanakpura Road,3,Unknown Society,1665,3,2,88
Super built-up Area,Ready to move,Dasanapura,2,Tavenew,708,2,2,37
Super built-up Area,Ready to move,Kasavanhalli,2,Srire S,1060,2,2,58
Plot Area,Ready to move,Rajaji Nagar,6,Unknown Society,710,6,3,160
Built-up Area,Ready to move,Sanjay nagar,2,Saenti,1000,2,2,70
Super built-up Area,Ready to move,Electronic City,2,Unknown Society,1000,2,1,28
Super built-up Area,Ready to move,Mysore Highway,3,Unknown Society,1450,2,2,70
Plot Area,Ready to move,ISRO Layout,4,Unknown Society,1200,4,2,155
Super built-up Area,Ready to move,Thanisandra,2,Bhmesy,1296,2,3,80
Super built-up Area,Ready to move,Domlur,3,Unknown Society,1540,3,2,90
Plot Area,Ready to move,Kengeri,4,Goardth,2894,4,1,245
Super built-up Area,Ready to move,Sarjapura Attibele Road,3,Unknown Society,1330,2,1,48
Built-up Area,Ready to move,Devasthanagalu,2,Unknown Society,1200,2,1,65
Built-up Area,Ready to move,T Dasarahalli,3,Unknown Society,1200,3,1,90
Super built-up Area,Ready to move,Yeshwanthpur,3,IBityin,2502,3,3,138
Built-up Area,Ready to move,Chandapura,2,KHityry,650,1,1,17
Plot Area,Ready to move,Kothanur,3,BDensar,2400,2,1,150
Super built-up Area,Ready to move,Green View Layout,2,Makeser,1007,2,2,43
Super built-up Area,Ready to move,Shantiniketan Layout,2,Maest N,1200,2,2,50
Super built-up Area,Ready to move,Peenya,2,Unknown Society,966,2,2,49
Built-up Area,Ready to move,Nagarbhavi,3,Unknown Society,1630,2,1,98
Built-up Area,Ready to move,Rajaji Nagar,3,Brway G,1640,3,2,229
Built-up Area,Ready to move,Jalahalli West,2,Unknown Society,782,2,2,55
Super built-up Area,Ready to move,Devanahalli,2,Oznuean,1260,2,2,66
Super built-up Area,Ready to move,Lakshmiamma Garden,3,Unknown Society,1800,3,3,120
Super built-up Area,Ready to move,Byatarayanapura,3,Reeroce,1413,2,2,75
Super built-up Area,Ready to move,Whitefield,2,Sonviik,1116,2,1,51
Super built-up Area,Ready to move,Electronic City,3,DSgmax,1530,2,1,45
Built-up Area,Ready to move,Ramamurthy Nagar,4,Unknown Society,3700,4,1,225
Built-up Area,Ready to move,Sarjapur Road,3,Cetattu,2497,3,2,140
Super built-up Area,Ready to move,Kengeri,3,Vaens G,1540,2,3,64
Super built-up Area,Ready to move,Thanisandra,3,Unknown Society,1436,3,1,74
Super built-up Area,Ready to move,Malleshwaram,2,Unknown Society,1100,2,2,75
Plot Area,Ready to move,Hennur Road,2,Unknown Society,276,3,3,23
Super built-up Area,Ready to move,Thanisandra,3,Moity S,1427,3,2,120
Super built-up Area,Ready to move,Akshaya Nagar,3,HiahsLa,2061,3,1,200
Super built-up Area,Ready to move,Hebbal,4,SNontle,3067,4,0,477
Built-up Area,Ready to move,Shampura,4,Unknown Society,2650,4,2,150
Super built-up Area,Ready to move,Devanahalli,3,Sabixtt,1282,2,2,68
Built-up Area,Ready to move,Kadugodi,2,Unknown Society,1050,2,1,34
Built-up Area,Ready to move,LB Shastri Nagar,3,Sragei,1600,3,2,65
Super built-up Area,Ready to move,Vajarahalli,2,Unknown Society,945,2,1,54
Super built-up Area,Ready to move,Hormavu,2,SyidaCr,1500,2,1,78
Plot Area,Ready to move,Vishwapriya Layout,7,Unknown Society,950,7,0,115
Built-up Area,Ready to move,Peenya,3,Jahts H,1870,3,3,110
Plot Area,Ready to move,Sarjapur,3,Inensba,1600,3,1,75
Super built-up Area,Ready to move,Electronic City,2,Itelaa,880,1,1,16
